id,title,description,term,department,level,sections,instructors,seats,open_seats,filled_seats,syllabus_count
AAPS380,Fearless First: Negotiating the Hidden Curriculum in Higher Education and Other Societal Institutions,Restriction: Permission of Academic Achievement Programs. Repeatable to 0 credit if content differs.,202308,Academic Achievement Programs,,1,Sharon Vanwright,25,20,5,0
AASP100,Introduction to African American Studies,"Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies.",202308,African American Studies,,6,George Kintiba; Shane Walsh; Jason Nichols,205,1,204,5
AASP100H,Introduction to African American Studies,"Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies.",202308,African American Studies,,1,Jason Nichols,5,2,3,1
AASP101,Public Policy and the Black Community,Formerly: AASP300.,202308,African American Studies,,1,Chinyere Osuji,37,2,35,0
AASP187,"The New Jim Crow: African-Americans, Mass Incarceration and the Prison Industrial Complex",Recommended: AASP100.,202308,African American Studies,,1,Joseph Richardson,60,5,55,0
AASP200,African Civilization,A survey of African civilizations from 4500 B.C. to present. Analysis of traditional social systems. Discussion of the impact of European colonization on these civilizations. Analysis of the influence of traditional African social systems on modern African institutions as well as discussion of contemporary processes of Africanization.,202308,African American Studies,,2,George Kintiba,60,21,39,1
AASP202,Black Culture in the United States,"The course examines important aspects of African American life and thought which are reflected in African American literature, drama, music and art. Beginning with the cultural heritage of slavery, the course surveys the changing modes of black creative expression from the 19th-century to the present.",202308,African American Studies,,4,Ashley Newby; Robert Choflet,132,1,131,1
AASP202H,Black Culture in the United States,"The course examines important aspects of African American life and thought which are reflected in African American literature, drama, music and art. Beginning with the cultural heritage of slavery, the course surveys the changing modes of black creative expression from the 19th-century to the present.",202308,African American Studies,,1,Ashley Newby,5,0,5,0
AASP210,Intro to Research Design and Analysis in African American Studies,"Introduces students to quantitative and qualitative research methods used in social science with a focus on Black populations and African American Studies Research. Uses practical exercises, such as class surveys and mock focus groups, to examine fundamental concepts of the research process from conceptualization of research questions to interpretation of data and research articles. The course is designed for undergraduate students with little or no background knowledge in social science research methods.",202308,African American Studies,,1,Angel Dunbar,25,18,7,0
AASP230,Social (In)Justice and African-American Health and Well-Being,"African Americans suffer worse outcomes than non-Hispanic whites on nearly every health measure and outcomes that link to overall well-being like depressive symptoms or homicides. Health disparities are experienced by other underrepresented minority groups, but because of the unique historic and current experiences of African Americans, the determinants and solutions to African American health disparities are unique. The premise of this course is that African American health disparities are due to social injustices perpetuated on the institutional level that have permeated the lived experiences of African Americans leading to racial disparities in health and well-being. As such, the solutions on the both policy, and community, level must have a social justice approach.",202308,African American Studies,,1,Cecily Hardaway,6,5,1,
AASP263,Introduction to Black Women's Studies,"Cross-listed with: WGSS263.
Credit only granted for: WMST263, AASP298I, WGSS263 or AASP263.
Formerly: WMST263.",202308,African American Studies,,1,Elsa Barkley Brown,40,30,10,0
AASP265,Constructions of Manhood and Womanhood in the Black Community,"Cross-listed with: WGSS265.
Credit only granted for: WMST265, AASP298B, WGSS265 or AASP265.
Formerly: WMST265.",202308,African American Studies,,1,Sharon Harley,40,14,26,0
AASP298C,African-American History to 1865,"Cross-listed with: HIST254.
Credit only granted for: HIST254 or AASP298C.",202308,African American Studies,,1,Christopher Bonner,40,16,24,0
AASP298L,African-American Literature and Culture,"Cross-listed with: ENGL234.
Credit only granted for: ENGL234 or AASP298L.",202308,African American Studies,,1,Anthony Batts,30,15,15,0
AASP301,Applied Policy Analysis and the Black Community,"Prerequisite: AASP101.
Recommended: Completion of one semester of statistics is recommended.",202308,African American Studies,,1,Cecily Hardaway,25,19,6,0
AASP313,Black Women in United States History,"Restriction: Sophomore standing or higher.
Cross-listed with: WGSS314.
Credit only granted for: AASP313, WMST314 or WGSS314.
Formerly: WMST314.",202308,African American Studies,,1,Elsa Barkley Brown,40,37,3,0
AASP320,Poverty and African American Children,"Credit only granted for: AASP320 or AASP298P.
Formerly: AASP298P.",202308,African American Studies,,1,Cecily Hardaway,25,1,24,1
AASP350,Cinema of the Black Atlantic,"This course examines cinema from the black Atlantic world, treating key films from Africa, the Caribbean, Latin America, and the United States. Anticolonial work by Ousmane Sembene and Sarah Maldoror, memory work by Haile Gerima and Julie Dash, and vernacular filmmaking by Charles Burnett, Spike Lee, Perry Henzell, Melvin Van Peebles, and others will introduce us to the varied concerns of Black filmmakers in moments of independence struggle and post-emancipation identity formation. While eclectic in selection, our examination of these films will be oriented around a pair of questions. What is antiblackness and how does cinema encounter, contemplate, and critique it? How do different geographies and historical experiences shift cultural and political concerns, as well as the methods of cinema along with those differing concerns? Such questions will allow us to see how questions of antiblackness and Black life operate in the between and overlapping spaces of colonial experience, ghettoization, and sites of resistance, rebellion, and radicalism.",202308,African American Studies,,1,John Drabinski,25,2,23,0
AASP386,Experiential Learning,Restriction: Permission of BSOS-African American Studies department; and junior standing or higher.,202308,African American Studies,,1,Marshal Washington,10,10,0,0
AASP397,Senior Thesis,Restriction: Permission of BSOS-African American Studies department.,202308,African American Studies,,0,,0,0,0,0
