id,title,description,term,department,level,sections,instructors,seats,open_seats,filled_seats,syllabus_count
AASP100,Introduction to African American Studies,"Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies.",202208,African American Studies,,6,George Kintiba; Shane Walsh; Jason Nichols,205,5,200,
AASP100H,Introduction to African American Studies,"Significant aspects of the history of African Americans with particular emphasis on the evolution and development of black communities from slavery to the present. Interdisciplinary introduction to social, political, legal and economic roots of contemporary problems faced by blacks in the United States with applications to the lives of other racial and ethnic minorities in the Americas and in other societies.",202208,African American Studies,,1,George Kintiba,5,1,4,
AASP101,Public Policy and the Black Community,Formerly: AASP300.,202208,African American Studies,,2,Dorith Grant-Wisdom; Ashley Newby,55,3,52,
AASP187,"The New Jim Crow: African-Americans, Mass Incarceration and the Prison Industrial Complex",Recommended: AASP100.,202208,African American Studies,,1,Joseph Richardson,30,0,30,
AASP200,African Civilization,A survey of African civilizations from 4500 B.C. to present. Analysis of traditional social systems. Discussion of the impact of European colonization on these civilizations. Analysis of the influence of traditional African social systems on modern African institutions as well as discussion of contemporary processes of Africanization.,202208,African American Studies,,2,George Kintiba,64,7,57,
AASP202,Black Culture in the United States,"The course examines important aspects of African American life and thought which are reflected in African American literature, drama, music and art. Beginning with the cultural heritage of slavery, the course surveys the changing modes of black creative expression from the 19th-century to the present.",202208,African American Studies,,4,Angel Dunbar; Robert Choflet; Sharon Harley,132,9,123,
AASP202H,Black Culture in the United States,"The course examines important aspects of African American life and thought which are reflected in African American literature, drama, music and art. Beginning with the cultural heritage of slavery, the course surveys the changing modes of black creative expression from the 19th-century to the present.",202208,African American Studies,,1,Robert Choflet,5,3,2,
AASP210,Intro to Research Design and Analysis in African American Studies,"Introduces students to quantitative and qualitative research methods used in social science with a focus on Black populations and African American Studies Research. Uses practical exercises, such as class surveys and mock focus groups, to examine fundamental concepts of the research process from conceptualization of research questions to interpretation of data and research articles. The course is designed for undergraduate students with little or no background knowledge in social science research methods.",202208,African American Studies,,1,Angel Dunbar,25,17,8,
AASP230,Social (In)Justice and African-American Health and Well-Being,"African Americans suffer worse outcomes than non-Hispanic whites on nearly every health measure and outcomes that link to overall well-being like depressive symptoms or homicides. Health disparities are experienced by other underrepresented minority groups, but because of the unique historic and current experiences of African Americans, the determinants and solutions to African American health disparities are unique. The premise of this course is that African American health disparities are due to social injustices perpetuated on the institutional level that have permeated the lived experiences of African Americans leading to racial disparities in health and well-being. As such, the solutions on the both policy, and community, level must have a social justice approach.",202208,African American Studies,,1,Ashley Newby,60,0,60,
AASP298B,Constructions of Manhood and Womanhood in the Black Community,"Cross-listed with: AASP265.
Credit only granted for: WMST265, AASP298B, WGSS265 or AASP265.
Formerly: WMST265.",202208,African American Studies,,1,Michelle Rowley,40,4,36,
AASP298C,African-American History to 1865,"Cross-listed with: HIST254.
Credit only granted for: HIST254 or AASP298C.",202208,African American Studies,,1,Christopher Bonner,40,1,39,
AASP298L,African-American Literature and Culture,"Cross-listed with: ENGL234.
Credit only granted for: ENGL234 or AASP298L.",202208,African American Studies,,1,Fredrick Cherry Jr,30,0,30,
AASP298M,Martin Luther King Jr.,"Cross-listed with: HIST108C, AMST189C.
Credit only granted for: HIST108C, AASP298M, or AMST189C.",202208,African American Studies,,1,Quincy Mills,15,4,11,
AASP298P,"Special Topics in African American Studies; Poverty, Race and African-American Children",,202208,African American Studies,,1,Cecily Hardaway,20,20,0,
AASP301,Applied Policy Analysis and the Black Community,"Prerequisite: AASP101; and (ECON201 or ECON200).
Recommended: Completion of one semester of statistics is recommended.",202208,African American Studies,,1,Cecily Hardaway,25,21,4,
AASP310,African Slave Trade,"Prerequisite: AASP202 or AASP100; or permission of BSOS-African American Studies department.
Formerly: AASP311.",202208,African American Studies,,1,George Kintiba,35,31,4,
