id,title,description,term,department,level,sections,instructors,seats,open_seats,filled_seats,syllabus_count,term_cleaned
LING889,Directed Research,NA,202408,Linguistics,Grad,0,NA,0,0,0,0,2024-08-01
LING240,Language and Mind,"Prerequisite: Minimum grade of C- in LING200.
Additional information: Required for Linguistics majors and recommended for students in related fields.",202408,Linguistics,Undergrad,1,Margaret Antonisse,50,16,34,2,2024-08-01
LING610,Syntactic Theory,Prerequisite: LING312.,202408,Linguistics,Grad,1,Juan Uriagereka,15,12,3,0,2024-08-01
LING449V,Topics in Psycholinguistics; L2 SPEECH ACQUISITION,"Prerequisites: LING311 and LING321.

A survey of second language (L2) speech acquisition reviewing theories, empirical findings, practical applications and some pedagogical considerations.",202408,Linguistics,Undergrad,1,Joselyn Rodriguez,10,3,7,0,2024-08-01
LING200,Introductory Linguistics,"Credit only granted for: HESP120 or LING200.
Additional information: This course serves as the prerequisite for further courses in linguistics.",202408,Linguistics,Undergrad,3,Aron Hirsch; Valentine Hacquard,75,23,52,3,2024-08-01
LING248T,Introduction to Laboratory Research in Linguistics,NA,202408,Linguistics,Undergrad,1,Andrea Zukowski,10,10,0,0,2024-08-01
LING723,Natural Language Processing,"Prerequisite: Minimum grade of C- in CMSC422; and permission of CMNS-Computer Science department.
Cross-listed with: CMSC723, INST735.
Credit only granted for: CMSC723, LING723, or INST735.
Additional information: CMSC students may only receive PhD Comp. credit for CMSC723 or CMSC823, not both.",202408,Linguistics,Grad,1,Jordan Ying; Naomi Feldman,49,12,37,0,2024-08-01
LING689,Independent Study,NA,202408,Linguistics,Grad,0,NA,0,0,0,0,2024-08-01
LING888,Doctoral Research Paper,NA,202408,Linguistics,Grad,18,Margaret Antonisse; Alexander Williams; William Idsardi; Ellen Lau; Aron Hirsch; Naomi Feldman; Philip Resnik; Jeffrey Lidz; Colin Phillips; Valentine Hacquard; Howard Lasnik; Amy Weinberg; Paul Pietroski; Andrea Zukowski; Norbert Hornstein; Juan Uriagereka; Tonia Bleam; Maria Polinsky,54,48,6,0,2024-08-01
LING440,Grammars and Cognition,Prerequisite: LING321 and LING311.,202408,Linguistics,Undergrad,1,Ellen Lau,25,1,24,0,2024-08-01
LING499,Directed Studies in Linguistics,NA,202408,Linguistics,Undergrad,0,NA,0,0,0,0,2024-08-01
LING899,Doctoral Dissertation Research,NA,202408,Linguistics,Grad,0,NA,0,0,0,0,2024-08-01
LING449I,Topics in Psycholinguistics; Linguistics of Sign Languages,"Prerequisite: LING311 and LING321.

Investigation of various topics in sign language research, using data from multiple signed and spoken languages to illuminate the fundamental nature of human language and the extent/limits of how human languages can vary. Topics include phonology, morphology, and syntax, native acquisition of signed languages, bimodal bilingual acquisition and heritage signers, sentence processing and production. Students will also gain hands-on experience analyzing sign language data and designing experiments to test various hypotheses. No previous sign language experience required.",202408,Linguistics,Undergrad,1,Tonia Bleam; Deborah Pichler,20,13,7,0,2024-08-01
LING698,Directed Study; Seminar,NA,202408,Linguistics,Grad,1,William Idsardi,10,10,0,0,2024-08-01
LING660,Introduction to Semantics,Restriction: Permission of instructor.,202408,Linguistics,Grad,1,Alexander Williams,15,12,3,1,2024-08-01
LING898,Pre-Candidacy Research,NA,202408,Linguistics,Grad,0,NA,0,0,0,0,2024-08-01
LING829A,Seminar in Phonological Theory,NA,202408,Linguistics,Grad,1,Kate Mooney,10,8,2,0,2024-08-01
LING698T,Directed Study; Pedagogy for Linguistics,Required for LING200 Teaching Assistants.,202408,Linguistics,Grad,1,Valentine Hacquard,6,2,4,0,2024-08-01
LING640,Psycholinguistics,Restriction: Permission of instructor.,202408,Linguistics,Grad,1,Ellen Lau,20,14,6,0,2024-08-01
LING499C,Directed Studies in Linguistics; Teaching Assistantship,Designed for students that will be teaching assistants for LING200.,202408,Linguistics,Undergrad,2,Margaret Antonisse; Tonia Bleam,8,6,2,0,2024-08-01
LING419D,Topics in Syntax; MODALS AND CONDITIONALS,"Prerequisites: LING311.

Major current theories and debates on modals and conditionals, with a particular focus on the puzzles that arise when conditionals interact with modals.",202408,Linguistics,Undergrad,1,Jingyi Chen,10,3,7,0,2024-08-01
LING321,Phonology I,Prerequisite: LING240.,202408,Linguistics,Undergrad,1,Margaret Antonisse,25,1,24,2,2024-08-01
LING879A,Seminar in Semantics,NA,202408,Linguistics,Grad,1,Aron Hirsch,10,5,5,0,2024-08-01
LING248,Introduction to Laboratory Research in Linguistics,NA,202408,Linguistics,Undergrad,1,Jeffrey Lidz,5,3,2,0,2024-08-01
LING320,Phonetics,"Prerequisite: Minimum grade of C- in LING200 or LING240.
Additional information: This course counts as a core course for the linguistics major. Only one of Ling320 or HESP403 can be used to count towards the Linguistics major.",202408,Linguistics,Undergrad,1,William Idsardi,40,0,40,0,2024-08-01
LING896,Research Paper in Minor Area,Prerequisite: LING888.,202408,Linguistics,Grad,0,NA,0,0,0,0,2024-08-01
LING798,Research Papers in Linguistics,NA,202408,Linguistics,Grad,0,NA,0,0,0,0,2024-08-01
LING448,Advanced Laboratory Research in Linguistics,NA,202408,Linguistics,Undergrad,1,Jeffrey Lidz,5,4,1,0,2024-08-01
LING311,Syntax I,Prerequisite: LING240.,202408,Linguistics,Undergrad,1,Tonia Bleam,25,5,20,0,2024-08-01
LING350,Philosophy of Language,"Prerequisite: LING311; or 2 courses in PHIL and (PHIL170 or PHIL370); or permission of ARHU-Philosophy department.
Cross-listed with: PHIL360.
Credit only granted for: LING350 or PHIL360.",202408,Linguistics,Undergrad,1,Alexander Williams,30,9,21,4,2024-08-01
LING848P,Seminar in Computational Linguistics; Computing and the Brain,"It is widely agreed that understanding the brain involves understanding its computations. What do we actually mean by computation? (Starting point: ""computation"" and ""large language models"" are not synonyms.) In this seminar we will get a foundation in what computation is, specifically in the context of what brains do; we will then delve into literature about two key features of the brain's computations, memory and prediction, with a focus on language. The last portion of the class will look at recent literature on these topics -- what questions are people asking, and what kinds of models are they proposing?",202408,Linguistics,Grad,1,Philip Resnik; Ellen Lau,20,11,9,0,2024-08-01
LING499H,Directed Studies in Linguistics,NA,202408,Linguistics,Undergrad,0,NA,0,0,0,0,2024-08-01
LING625,Morphology and the Lexicon,The structure of words and investigation of how word formation processes interact with other components of grammar.,202408,Linguistics,Grad,1,William Idsardi,10,2,8,0,2024-08-01
LING799,Master's Thesis Research,NA,202408,Linguistics,Grad,0,NA,0,0,0,0,2024-08-01
AMST328B,Perspectives on Identity and Culture; Angela Davis,"Cross-listed with AASP398U, ENGL368F, and WGSS379U. Credit only granted for AASP398U, AMST328B, ENGL368F, and WGSS379U.

This course explores the meaning and significance of Angela Davis work for thinking through issues of race, nation, class, gender, carceral culture, and transnational solidarity. Her life and work is set between theorizing histories of race, racism, class, and gender and political organizing and public intellectual work. We will examine all of these aspects by reading her work from its beginning and up through contemporary commentary on incarceration, Palestine, and related issues. The centerpiece of this course will be her study of African-American music in its Black feminist iteration, Blues Legacies and Black Feminism.",202408,American Studies,Undergrad,1,John Drabinski,25,3,22,0,2024-08-01
AMST328W,Asian Americans in Film,"Cross-listed with: AAST355.
Credit only granted for: AAST355, AAST398L or AMST328W.
Formerly: 398L.",202408,American Studies,Undergrad,1,Jennifer Cho,30,0,30,0,2024-08-01
AMST498D,Special Topics in American Studies; Black Women in Twentieth Century America,"Cross-listed with HIST319X, WGSS379J, and AASP398J. Credit only granted for HIST319X, WGSS379J, AMST498D, or AASP398J.

Traces twentieth-century United States history from the perspective of Black women. We will center their diverse voices and experiences as we explore themes including family, work, activism, and cultural expression.",202408,American Studies,Undergrad,1,Leigh Soares,30,4,26,1,2024-08-01
AMST205,Material Aspects of American Life,"Historical survey of American material culture. Ways of describing and interpreting accumulated material evidence (e.g., buildings, town plans) introduced by stressing relationship between artifact and culture.",202408,American Studies,Undergrad,2,Grace Kwon; Carla Thomas McGinnis,32,0,32,1,2024-08-01
AMST655,Introduction to Museum Scholarship,"Cross-listed with: ANTH655, HIST610, INST653.
Credit only granted for: AMST655, ANTH655, HIST610, INST728T or INST653.",202408,American Studies,Grad,1,Diana Marsh,30,13,17,0,2024-08-01
AMST340,"Introduction to History, Theories and Methods in American Studies","Prerequisite: Must have completed AMST201; and 2 courses in AMST.
Restriction: Must be in American Studies program; and sophomore standing or higher.",202408,American Studies,Undergrad,1,Jamila Moore-Pewu,20,11,9,0,2024-08-01
AMST204,Film and American Culture Studies,"Exploration of the American film from a historical perspective, illustrating the motion picture's role as an institutional phenomenon, as a form of communication, and as a source of cross-cultural study.",202408,American Studies,Undergrad,1,Susan Pramschufer,35,3,32,2,2024-08-01
AMST101,Introduction American Studies,"Credit only granted for: AMST101 or AMST201.
Formerly: AMST201.",202408,American Studies,Undergrad,5,Alice Santana; Christina Hanhardt,78,4,74,7,2024-08-01
AMST629F,Seminar in American Studies; Fascisms,"This seminar asks whether and how 'fascism' and 'anti-fascism' might be useful terms for social, historical, and political analysis. From the association of fascism with police violence and colonial domination to the characterization of contemporary anti-immigrant discourses as fascistic, there have been a variety of late twentieth and early twenty-first century invocations of fascism as a rising aspect of political mobilization around the world. What definitions of fascism have been useful to scholars of historical and present-day political movements? What understandings of the body, the human, and the state do the analysis of 'fascism' allow or obscure? How have different anti-fascist mobilizations intersected with (or failed to intersect with) other related social movements?",202408,American Studies,Grad,1,Neel Ahuja,14,0,14,0,2024-08-01
AMST320,(Dis)ability in American Film,"Credit only granted for: AMST320 or AMST328X.
Formerly: AMST328X.",202408,American Studies,Undergrad,1,Susan Pramschufer,20,0,20,0,2024-08-01
AMST328C,Perspectives on Identity and Culture; Race and the Story of American Freedom,"Together, we will explore these and many other questions as we survey American history while emphasizing the ways ethnic and racial minoritieshave shaped American identity from pre-historic times through the present. By examining or re-examining American history through the lens of these and other racial and ethnic groups we will develop an understanding of key concepts and definitions such as race/class/gender;ethnic group, racial group, minority/majority; institutional racism; social construction of race versus biological construction, resistance, and change.",202408,American Studies,Undergrad,1,Jamila Moore-Pewu,30,6,24,0,2024-08-01
AMST398,Independent Studies,NA,202408,American Studies,Undergrad,0,NA,0,0,0,0,2024-08-01
AMST203,Popular Culture in America,"An introduction to American popular culture, its historical development, and its role as a reflection of and influence on our culture and society.",202408,American Studies,Undergrad,3,Kristine Li Puma; Zachary Johnson,59,4,55,5,2024-08-01
AMST262,"Houses, Schools, and Prisons in American Life","This interdisciplinary course explores the role of property, discipline, and punishment in American life. By exploring the ideological underpinnings in property, discipline, and punishment and their manifestations in houses, schools, and prisons we will explore how these entities reflect American society and its values.",202408,American Studies,Undergrad,4,Perla Guerrero,60,2,58,1,2024-08-01
AMST798,Non-Thesis Research,NA,202408,American Studies,Grad,0,NA,0,0,0,0,2024-08-01
AMST628G,"Seminar in American Studies; Haiti: Literature, Culture, and Identity","Cross-listed with FREN699D. Credit only granted for FREN699D or AMST628G.

Examines Haiti s culture and identity through historical, social, political, economic, linguistic and religious lenses. Through the study of critical and literary texts as well as films we will analyze Haiti's place and influence in history as the first Black Republic and the second independent nation in the Western hemisphere.",202408,American Studies,Grad,1,Cecile Accilien,10,0,10,0,2024-08-01
AMST498C,"Special Topics in American Studies; Central Americans and the United States: Culture, Politics, and Community","Cross-listed with USLT450. Credit only granted for AMST498C, USLT450, or USLT498D.

With attention to history, memory, politics, and culture, explores the relationships, conflicts, and exchanges of people and power between the United States and the Central American isthmus. Through literature, feature films, documentary films, theatre, poetry, and other mediums, the course investigates the role of the US government and military, as well as US corporate interests and US-backed dictatorships, in the culture, politics, and economy of nations including El Salvador, Nicaragua, Guatemala, and Honduras.",202408,American Studies,Undergrad,1,Robert Chester,20,0,20,0,2024-08-01
AMST799,Master's Thesis Research,NA,202408,American Studies,Grad,0,NA,0,0,0,0,2024-08-01
AMST388,Honors Thesis,NA,202408,American Studies,Undergrad,0,NA,0,0,0,0,2024-08-01
AMST878A,American Studies Pedagogy Mentoring; Mentoring for First Year Teaching in American Studies,Prerequisite: permission of department and must be a current AMST teaching assistant.,202408,American Studies,Grad,1,Bayley Marquez,8,6,2,0,2024-08-01
AMST202,Cultures of Everyday Life in America,"Examine the structures and patterns of everyday life in the U.S., utilizing methods such as ethnography, oral history, survey research, and textual, visual, and material cultural analysis.",202408,American Studies,Undergrad,1,Melodie Jackson,25,0,25,1,2024-08-01
AMST418H,Cultural Themes in America; Cultural Themes in America-Honors,Prerequisite: At least three credit hours of prior coursework in AMST.,202408,American Studies,Undergrad,0,NA,0,0,0,0,2024-08-01
AMST878B,American Studies Pedagogy Mentoring; Mentoring for Second Year Teaching in American Studies,Prerequisite: permission of department and must be a current AMST teaching assistant.,202408,American Studies,Grad,1,Bayley Marquez,6,3,3,0,2024-08-01
AMST498L,Special Topics in American Studies; Native Americans and US Cinema,NA,202408,American Studies,Undergrad,1,Robert Chester,20,7,13,0,2024-08-01
AMST328J,Perspectives on Identity and Culture,NA,202408,American Studies,Undergrad,1,Gemirald Daus,35,14,21,0,2024-08-01
AMST298D,Selected Topics in American Studies,NA,202408,American Studies,Undergrad,4,Neel Ahuja,100,1,99,0,2024-08-01
AMST324,Growing Up Asian American: The Asian Immigrant Family and the Second Generation,"Cross-listed with: AAST394, IMMR394.
Credit only granted for: AAST394, AAST398E, AMST324, AMST328V, IMMR319G or IMMR394.
Formerly: AAST398E.",202408,American Studies,Undergrad,1,Joan Hong,30,0,30,0,2024-08-01
AMST298Q,U.S. Latinx Literature and Culture,"Cross-listed with: ENGL235.
Credit only granted for: ENGL235 or AMST298Q.",202408,American Studies,Undergrad,1,James Rankin,30,0,30,0,2024-08-01
AMST386,Experiential Learning,Restriction: Permission of ARHU-American Studies department; and junior standing or higher.,202408,American Studies,Undergrad,1,Asim Ali,10,5,5,0,2024-08-01
AMST312,Introduction to Native American and Indigenous Studies,"Credit only granted for: AMST328N, ANTH468F, RELS319N, or AMST312.
Formerly: AMST328N, ANTH468F, or RELS319N.",202408,American Studies,Undergrad,1,Bayley Marquez,25,0,25,0,2024-08-01
AMST878C,American Studies Pedagogy Mentoring; Mentoring for Third Year Teaching in American Studies,Prerequisite: permission of department and must be a current AMST teaching assistant.,202408,American Studies,Grad,1,Bayley Marquez,5,4,1,0,2024-08-01
